Num_Acc;an;mois;jour;hrmn;lum;agg;atm;col;dep
201400000134;14;12;13;1030;1;1;2;1;59
201400000135;14;12;17;1715;5;2;1;6;59
201400000136;14;1;13;2000;5;2;2;6;59
201400000137;14;1;28;1815;5;2;2;6;59
201400000138;14;2;22;300;3;1;2;7;59
201400000139;14;2;23;2245;3;1;1;6;59
201400000140;14;3;6;1130;1;2;1;6;59
201400000141;14;3;26;815;1;2;1;3;59
201400000142;14;6;21;1500;1;2;1;6;59
201400000143;14;7;22;1015;1;2;2;6;59
201400000144;14;9;10;1700;1;2;1;2;59
201400000145;14;9;17;945;1;2;1;1;59
201400000146;14;3;15;1430;1;2;1;6;59
201400000147;14;3;25;1530;1;2;1;6;59
201400000148;14;11;22;515;3;1;1;6;59
201400000149;14;1;22;1830;2;1;1;3;59
201400000150;14;4;5;1115;1;1;1;3;59
201400000151;14;6;25;15;3;1;1;6;59
201400000152;14;9;1;1645;1;1;1;4;59
201400000153;14;9;2;1845;1;1;1;1;59
201400000154;14;11;27;1745;3;1;1;6;59
201400000155;14;2;3;1045;1;2;7;6;59
201400000156;14;9;20;1015;1;2;1;2;59
201400000157;14;10;22;830;2;1;1;7;59
201400000158;14;11;4;1315;1;2;1;1;59
201400000159;14;11;18;1145;1;2;1;1;59
201400000160;14;12;15;2130;3;1;2;1;59
201400000161;14;1;17;1600;1;1;3;1;59
201400000162;14;4;27;430;3;1;1;6;59
201400000163;14;9;19;730;1;1;1;6;59
201400000164;14;12;13;415;3;1;1;7;59
201400000165;14;12;19;1800;2;2;1;6;59
201400000166;14;6;7;1945;1;2;1;2;59
201400000167;14;6;12;1800;1;1;1;3;59
201400000168;14;1;17;1430;1;2;2;3;59
201400000169;14;2;8;1945;3;1;1;1;59
201400000170;14;5;1;2145;2;1;1;1;59
201400000171;14;10;3;2245;5;2;1;3;59
201400000172;14;10;19;1600;1;2;1;3;59
201400000173;14;10;20;900;1;2;1;2;59
201400000174;14;3;15;845;1;2;1;7;59
201400000175;14;10;29;1645;1;1;1;3;59
201400000176;14;1;14;1745;5;2;9;1;59
201400000177;14;7;13;1030;1;2;3;3;59
201400000178;14;7;30;900;1;2;1;6;59
201400000179;14;9;25;1430;1;2;1;6;59
201400000180;14;2;9;1415;1;1;4;6;62
201400000181;14;2;15;1030;1;1;1;6;62
201400000182;14;3;1;545;3;1;1;6;62
201400000183;14;4;18;1830;1;1;1;4;62
201400000184;14;4;27;2100;2;1;9;6;62
201400000185;14;7;8;930;1;1;1;2;62
201400000186;14;9;1;1415;1;1;1;7;62
201400000187;14;1;7;1800;1;1;1;5;62
201400000188;14;2;7;1500;1;1;8;3;62
201400000189;14;3;6;2145;3;1;1;6;62
201400000190;14;4;3;1615;1;1;1;1;62
201400000191;14;4;27;1330;1;2;2;3;62
201400000192;14;6;13;1700;1;1;1;1;62
201400000193;14;12;11;1615;1;1;2;1;62
201400000194;14;1;22;1745;5;2;2;6;62
201400000195;14;4;19;2030;3;1;1;6;62
201400000196;14;7;8;1345;1;1;1;7;62
201400000197;14;12;6;845;1;1;8;7;62
201400000198;14;12;28;2300;3;1;9;7;62
201400000199;14;11;19;1745;2;1;1;6;62
201400000200;14;3;12;1145;1;1;1;3;62
201400000201;14;1;10;1915;3;1;1;3;62
201400000202;14;1;11;1645;1;1;1;3;62
201400000203;14;1;16;1000;1;1;3;1;62
201400000204;14;1;22;1845;5;2;2;4;62
201400000205;14;2;2;2000;3;1;1;6;62
201400000206;14;5;2;915;1;2;1;6;62
201400000207;14;6;29;2000;1;2;1;6;62
201400000208;14;7;25;245;3;1;1;1;62
